// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
Application::Lua::Script::Client::BehaviorLogger::SourceDisplayNameResolverListener        | 0x00FE046C |   2 | 0x012C3E20 | .?AVSourceDisplayNameResolverListener@BehaviorLogger@Client@Script@Lua@Application@@
Application::Lua::Script::Client::ClientItemSpreadSheetBinderContainer                     | 0x00FE0418 |   4 | 0x012C3CE8 | .?AVClientItemSpreadSheetBinderContainer@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::CommandInterface                                | 0x00FDF980 |   2 | 0x012C3308 | .?AVCommandInterface@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::CommandUpdaterBase                              | 0x00FE1200 |   5 | 0x012C4168 | .?AVCommandUpdaterBase@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::ItemClearCommand                          | 0x010570D8 |  10 | 0x012D7C98 | .?AVItemClearCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::ItemCommandBase                           | 0x010570AC |  10 | 0x012D7C48 | .?AVItemCommandBase@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::ItemLinkUpdateCommand                     | 0x01057104 |  10 | 0x012D7CE8 | .?AVItemLinkUpdateCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::ItemPackageUpdateStartCommand             | 0x01057130 |  10 | 0x012D7D38 | .?AVItemPackageUpdateStartCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::ItemUpdateCommand                         | 0x0105715C |  10 | 0x012D7D90 | .?AVItemUpdateCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::ServerOrderUpdateWorkCommand              | 0x01057238 |  10 | 0x012D7F30 | .?AVServerOrderUpdateWorkCommand@Item@Command@Client@Script@Lua@Application@@
